,경기 날짜,Team_A,Team_B,경기장소,경기시작시간,관중수
467,11. 14,현대건설,흥국생명,수원,19:00,"1,192"
468,11. 14,KGC인삼공사,IBK기업은행,대전충무,19:00,"2,254"
469,11. 15,KB손해보험,한국전력,의정부,19:00,"1,149"
470,11. 16,현대캐피탈,대한항공,천안유관순,19:01,"3,638"
471,11. 17,우리카드,OK저축은행,서울장충,14:00,"3,210"
472,11. 17,IBK기업은행,한국도로공사,화성종합실내,16:00,"2,169"
473,11. 18,한국전력,삼성화재,수원,14:00,"2,119"
474,11. 18,KGC인삼공사,흥국생명,대전충무,16:00,"2,925"
475,11. 19,대한항공,KB손해보험,인천계양,19:00,"1,608"
476,11. 20,현대캐피탈,OK저축은행,천안유관순,19:00,"2,675"
477,11. 21,흥국생명,한국도로공사,인천계양,19:00,"1,739"
478,11. 21,IBK기업은행,GS칼텍스,화성종합실내,19:00,"1,472"
479,11. 22,우리카드,삼성화재,서울장충,19:00,"2,193"
480,11. 23,KB손해보험,현대캐피탈,의정부,19:00,"2,442"
481,11. 24,OK저축은행,한국전력,안산상록수,14:00,"2,060"
482,11. 24,현대건설,IBK기업은행,수원,16:00,"1,910"
483,11. 25,삼성화재,대한항공,대전충무,14:00,"3,458"
484,11. 25,GS칼텍스,KGC인삼공사,서울장충,16:00,"3,048"
485,11. 26,우리카드,KB손해보험,서울장충,19:00,"1,537"
486,11. 27,현대캐피탈,한국전력,천안유관순,19:00,"2,275"
487,11. 28,한국도로공사,GS칼텍스,김천실내,19:00,"2,205"
488,11. 28,IBK기업은행,흥국생명,화성종합실내,19:00,"1,647"
489,11. 29,KGC인삼공사,현대건설,대전충무,19:00,"2,475"
490,11. 29,대한항공,우리카드,인천계양,19:00,"1,859"
491,11. 30,KB손해보험,OK저축은행,의정부,19:00,"1,467"
492,12. 01,한국전력,현대캐피탈,수원,14:00,"2,825"
493,12. 01,GS칼텍스,흥국생명,서울장충,16:00,"3,725"
494,12. 02,삼성화재,우리카드,대전충무,14:00,"2,610"
495,12. 02,한국도로공사,현대건설,김천실내,16:00,"2,620"
496,12. 03,KB손해보험,대한항공,의정부,19:00,"1,319"
497,12. 04,OK저축은행,현대캐피탈,안산상록수,19:00,"2,197"
498,12. 05,현대건설,KGC인삼공사,수원,19:00,"1,070"
499,12. 05,GS칼텍스,IBK기업은행,서울장충,19:00,"3,246"
500,12. 06,대한항공,삼성화재,인천계양,19:00,"1,447"
501,12. 07,한국전력,OK저축은행,수원,19:00,"1,075"
502,12. 08,현대캐피탈,KB손해보험,천안유관순,14:00,"3,862"
503,12. 08,흥국생명,IBK기업은행,인천계양,16:00,"2,511"
504,12. 09,우리카드,대한항공,서울장충,14:00,"3,653"
505,12. 09,KGC인삼공사,한국도로공사,대전충무,16:00,"2,347"
506,12. 10,삼성화재,한국전력,대전충무,19:00,"1,875"
507,12. 11,OK저축은행,KB손해보험,안산상록수,19:00,"1,668"
508,12. 12,한국도로공사,흥국생명,김천실내,19:00,"1,916"
509,12. 12,IBK기업은행,KGC인삼공사,화성종합실내,19:00,"1,461"
510,12. 13,대한항공,현대캐피탈,인천계양,19:00,"2,386"
511,12. 14,한국전력,우리카드,수원,19:00,"1,232"
512,12. 15,KB손해보험,삼성화재,의정부,14:00,"2,619"
